name;best11
S. Agüero;1
P. Aubameyang;1
K. Benzema;1
S. Gnabry;1
E. Haaland;1
Z. Ibrahimovic;1
H. Kane;1
R. Lewandowski;1
S. Mané;1
K. Mbappé;1
L. Messi;1
Neymar Jr;1
Cristiano Ronaldo;1
M. Salah;1
H. Son;1
